OBJECTID,LAD21CD,LAD21NM,BNG_E,BNG_N,LONG,LAT,SHAPE_Length,SHAPE_Area,Students
26,E06000026,Plymouth,249945,58255,-4.1129699,50.404942,92645.28595,79849713.87,1670
27,E06000027,Torbay,289730,64613,-3.5552299,50.470921,77910.701,62886694.46,920
28,E06000030,Swindon,418551,186564,-1.73367,51.577629,103014.6196,230093376.5,1205
29,E06000031,Peterborough,517372,300777,-0.26874,52.59214,112677.9672,343378157,1255
30,E06000032,Luton,508606,222559,-0.42319,51.891022,34569.60263,43352491.44,1510
31,E06000033,Southend-on-Sea,587777,186837,0.70692301,51.549171,57783.25338,41673935.68,1460
32,E06000034,Thurrock,562123,181590,0.33486101,51.509979,115992.1282,163837050.3,990
33,E06000035,Medway,578207,175198,0.56317401,51.44772,249514.8248,193714249.2,2045
34,E06000036,Bracknell Forest,488169,168792,-0.73363,51.411301,62507.90393,109384214.7,760
35,E06000037,West Berkshire,450575,172095,-1.27364,51.445591,166801.5831,704169399.5,1275
36,E06000038,Reading,470226,173154,-0.99071002,51.453018,39330.63697,40397992.56,675
37,E06000039,Slough,498920,179246,-0.57617003,51.503502,44181.39323,32542009.05,1145
